,symbol,metric,value
464,BALL,Avg. Volume,"2,359,550"
465,BAC,Previous Close,34.41
466,BAC,Open,34.25
467,BAC,Bid,34.80 x 42300
468,BAC,Ask,0.00 x 1200
469,BAC,Day's Range,34.05 - 34.79
470,BAC,52 Week Range,29.67 - 50.11
471,BAC,Volume,"30,148,190"
472,BAC,Avg. Volume,"41,938,064"
473,BBWI,Previous Close,36.63
474,BBWI,Open,36.37
475,BBWI,Bid,0.00 x 800
476,BBWI,Ask,50.00 x 800
477,BBWI,Day's Range,35.71 - 37.13
478,BBWI,52 Week Range,25.75 - 82.00
479,BBWI,Volume,"2,732,453"
480,BBWI,Avg. Volume,"5,054,201"
481,BAX,Previous Close,58.66
482,BAX,Open,58.55
483,BAX,Bid,58.26 x 900
484,BAX,Ask,60.20 x 1400
485,BAX,Day's Range,58.34 - 59.10
486,BAX,52 Week Range,57.49 - 89.70
487,BAX,Volume,"2,921,386"
488,BAX,Avg. Volume,"3,039,138"
489,BDX,Previous Close,257.40
490,BDX,Open,257.42
491,BDX,Bid,256.36 x 1000
492,BDX,Ask,263.90 x 2200
493,BDX,Day's Range,256.14 - 260.78
494,BDX,52 Week Range,229.40 - 277.29
495,BDX,Volume,"850,715"
496,BDX,Avg. Volume,"945,032"
497,WRB,Previous Close,61.80
498,WRB,Open,62.00
499,WRB,Bid,60.45 x 900
500,WRB,Ask,63.80 x 900
501,WRB,Day's Range,62.00 - 62.88
502,WRB,52 Week Range,47.13 - 72.32
503,WRB,Volume,"1,860,998"
504,WRB,Avg. Volume,"1,481,414"
505,BRK.B,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
506,BBY,Previous Close,78.84
507,BBY,Open,78.49
508,BBY,Bid,0.00 x 800
509,BBY,Ask,79.50 x 1100
510,BBY,Day's Range,77.59 - 78.96
511,BBY,52 Week Range,64.29 - 141.97
512,BBY,Volume,"1,755,766"
513,BBY,Avg. Volume,"3,000,625"
514,BIO,Previous Close,559.86
515,BIO,Open,560.99
516,BIO,Bid,399.98 x 1100
517,BIO,Ask,565.39 x 800
518,BIO,Day's Range,554.94 - 569.89
519,BIO,52 Week Range,462.61 - 832.70
520,BIO,Volume,"248,054"
521,BIO,Avg. Volume,"194,675"
522,TECH,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
523,BIIB,Previous Close,202.81
524,BIIB,Open,201.74
525,BIIB,Bid,202.14 x 800
526,BIIB,Ask,206.10 x 900
527,BIIB,Day's Range,200.15 - 202.90
528,BIIB,52 Week Range,187.16 - 347.74
529,BIIB,Volume,"698,840"
530,BIIB,Avg. Volume,"974,248"
531,BLK,Previous Close,696.97
532,BLK,Open,694.89
533,BLK,Bid,650.48 x 1100
534,BLK,Ask,0.00 x 800
535,BLK,Day's Range,694.01 - 704.32
536,BLK,52 Week Range,575.60 - 973.16
537,BLK,Volume,"357,596"
538,BLK,Avg. Volume,"769,929"
539,BK,Previous Close,42.97
540,BK,Open,42.85
541,BK,Bid,0.00 x 800
542,BK,Ask,44.08 x 1100
543,BK,Day's Range,42.68 - 43.29
544,BK,52 Week Range,39.78 - 64.63
545,BK,Volume,"2,176,954"
546,BK,Avg. Volume,"3,616,956"
547,BA,Previous Close,160.07
548,BA,Open,162.27
549,BA,Bid,0.00 x 800
550,BA,Ask,166.30 x 800
551,BA,Day's Range,161.38 - 164.14
552,BA,52 Week Range,113.02 - 233.94
553,BA,Volume,"4,069,481"
554,BA,Avg. Volume,"9,126,996"
555,BKNG,Previous Close,"1,992.83"
556,BKNG,Open,"1,971.98"
557,BKNG,Bid,0.00 x 900
558,BKNG,Ask,0.00 x 900
559,BKNG,Day's Range,"1,970.49 - 2,019.16"
560,BKNG,52 Week Range,"1,669.34 - 2,715.66"
561,BKNG,Volume,"229,332"
562,BKNG,Avg. Volume,"401,483"
563,BWA,Previous Close,37.14
564,BWA,Open,37.14
565,BWA,Bid,0.00 x 1400
566,BWA,Ask,0.00 x 800
567,BWA,Day's Range,36.94 - 37.60
568,BWA,52 Week Range,32.28 - 50.09
569,BWA,Volume,"1,166,143"
570,BWA,Avg. Volume,"1,793,269"
571,BXP,Previous Close,83.41
572,BXP,Open,83.29
573,BXP,Bid,76.78 x 1100
574,BXP,Ask,0.00 x 800
575,BXP,Day's Range,82.60 - 83.66
576,BXP,52 Week Range,82.60 - 133.11
577,BXP,Volume,"699,738"
578,BXP,Avg. Volume,"1,152,638"
579,BSX,Previous Close,40.86
580,BSX,Open,40.90
581,BSX,Bid,0.00 x 1400
582,BSX,Ask,42.10 x 1800
583,BSX,Day's Range,40.68 - 41.34
584,BSX,52 Week Range,34.98 - 47.50
585,BSX,Volume,"4,473,471"
586,BSX,Avg. Volume,"7,423,566"
587,BMY,Previous Close,72.77
588,BMY,Open,73.01
589,BMY,Bid,0.00 x 1000
590,BMY,Ask,73.72 x 1800
591,BMY,Day's Range,72.36 - 73.13
592,BMY,52 Week Range,53.22 - 80.59
593,BMY,Volume,"5,687,790"
594,BMY,Avg. Volume,"10,751,537"
595,AVGO,Previous Close,529.78
596,AVGO,Open,529.56
597,AVGO,Bid,0.00 x 1100
598,AVGO,Ask,0.00 x 1000
599,AVGO,Day's Range,523.44 - 531.30
600,AVGO,52 Week Range,463.91 - 677.76
601,AVGO,Volume,"1,188,496"
602,AVGO,Avg. Volume,"2,029,419"
603,BR,Previous Close,176.03
604,BR,Open,174.10
605,BR,Bid,170.45 x 800
606,BR,Ask,175.54 x 800
607,BR,Day's Range,173.77 - 175.34
608,BR,52 Week Range,132.40 - 185.40
609,BR,Volume,"326,076"
610,BR,Avg. Volume,"455,588"
611,BRO,Previous Close,66.54
612,BRO,Open,67.03
613,BRO,Bid,65.86 x 1100
614,BRO,Ask,67.68 x 800
615,BRO,Day's Range,66.84 - 67.59
616,BRO,52 Week Range,52.91 - 74.00
