,symbol,metric,value
1644,FCX,Volume,"10,371,704"
1645,FCX,Avg. Volume,"19,814,445"
1646,GRMN,Previous Close,93.83
1647,GRMN,Open,93.91
1648,GRMN,Bid,91.33 x 800
1649,GRMN,Ask,100.00 x 800
1650,GRMN,Day's Range,93.20 - 94.37
1651,GRMN,52 Week Range,92.31 - 178.81
1652,GRMN,Volume,"591,463"
1653,GRMN,Avg. Volume,"999,554"
1654,IT,Previous Close,307.98
1655,IT,Open,303.00
1656,IT,Bid,303.48 x 800
1657,IT,Ask,303.68 x 900
1658,IT,Day's Range,301.87 - 306.42
1659,IT,52 Week Range,221.39 - 369.00
1660,IT,Volume,"520,195"
1661,IT,Avg. Volume,"462,351"
1662,GNRC,Previous Close,243.30
1663,GNRC,Open,244.41
1664,GNRC,Bid,238.00 x 1200
1665,GNRC,Ask,0.00 x 800
1666,GNRC,Day's Range,241.96 - 247.38
1667,GNRC,52 Week Range,197.94 - 524.31
1668,GNRC,Volume,"536,745"
1669,GNRC,Avg. Volume,"990,590"
1670,GD,Previous Close,234.00
1671,GD,Open,234.86
1672,GD,Bid,0.00 x 1300
1673,GD,Ask,244.84 x 800
1674,GD,Day's Range,232.85 - 235.27
1675,GD,52 Week Range,188.64 - 254.99
1676,GD,Volume,"736,034"
1677,GD,Avg. Volume,"1,124,179"
1678,GE,Previous Close,76.10
1679,GE,Open,76.15
1680,GE,Bid,76.77 x 900
1681,GE,Ask,78.12 x 2200
1682,GE,Day's Range,75.88 - 77.28
1683,GE,52 Week Range,59.93 - 116.17
1684,GE,Volume,"4,690,045"
1685,GE,Avg. Volume,"6,537,650"
1686,GIS,Previous Close,77.87
1687,GIS,Open,78.04
1688,GIS,Bid,0.00 x 1400
1689,GIS,Ask,78.99 x 1000
1690,GIS,Day's Range,77.68 - 78.54
1691,GIS,52 Week Range,56.67 - 78.54
1692,GIS,Volume,"2,207,335"
1693,GIS,Avg. Volume,"3,650,253"
1694,GM,Previous Close,38.56
1695,GM,Open,38.61
1696,GM,Bid,0.00 x 3000
1697,GM,Ask,39.75 x 1400
1698,GM,Day's Range,38.32 - 39.73
1699,GM,52 Week Range,30.33 - 67.21
1700,GM,Volume,"12,597,479"
1701,GM,Avg. Volume,"14,661,669"
1702,GPC,Previous Close,157.74
1703,GPC,Open,156.95
1704,GPC,Bid,128.57 x 800
1705,GPC,Ask,166.51 x 900
1706,GPC,Day's Range,155.81 - 158.00
1707,GPC,52 Week Range,115.63 - 161.45
1708,GPC,Volume,"714,990"
1709,GPC,Avg. Volume,"814,154"
1710,GILD,Previous Close,63.68
1711,GILD,Open,63.70
1712,GILD,Bid,63.41 x 1400
1713,GILD,Ask,64.04 x 1000
1714,GILD,Day's Range,63.20 - 63.81
1715,GILD,52 Week Range,57.17 - 74.12
1716,GILD,Volume,"3,643,094"
1717,GILD,Avg. Volume,"6,748,479"
1718,GL,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
1719,GPN,Previous Close,128.74
1720,GPN,Open,129.03
1721,GPN,Bid,125.68 x 900
1722,GPN,Ask,0.00 x 800
1723,GPN,Day's Range,127.57 - 129.44
1724,GPN,52 Week Range,105.52 - 175.73
1725,GPN,Volume,"1,156,215"
1726,GPN,Avg. Volume,"1,672,045"
1727,GS,Previous Close,340.18
1728,GS,Open,339.02
1729,GS,Bid,338.50 x 900
1730,GS,Ask,0.00 x 900
1731,GS,Day's Range,338.49 - 344.32
1732,GS,52 Week Range,277.84 - 426.16
1733,GS,Volume,"1,447,797"
1734,GS,Avg. Volume,"2,395,748"
1735,HAL,Previous Close,31.22
1736,HAL,Open,31.15
1737,HAL,Bid,31.76 x 2200
1738,HAL,Ask,32.50 x 1300
1739,HAL,Day's Range,31.02 - 31.86
1740,HAL,52 Week Range,19.09 - 43.99
1741,HAL,Volume,"9,470,702"
1742,HAL,Avg. Volume,"11,216,867"
1743,HIG,Previous Close,67.17
1744,HIG,Open,67.22
1745,HIG,Bid,66.00 x 1000
1746,HIG,Ask,0.00 x 800
1747,HIG,Day's Range,65.20 - 67.27
1748,HIG,52 Week Range,61.59 - 78.17
1749,HIG,Volume,"1,284,740"
1750,HIG,Avg. Volume,"1,853,488"
1751,HAS,Previous Close,82.33
1752,HAS,Open,82.50
1753,HAS,Bid,0.00 x 900
1754,HAS,Ask,0.00 x 1000
1755,HAS,Day's Range,82.14 - 83.38
1756,HAS,52 Week Range,76.94 - 105.73
1757,HAS,Volume,"670,759"
1758,HAS,Avg. Volume,"1,044,675"
1759,HCA,Previous Close,210.25
1760,HCA,Open,210.43
1761,HCA,Bid,0.00 x 900
1762,HCA,Ask,240.98 x 800
1763,HCA,Day's Range,209.04 - 212.74
1764,HCA,52 Week Range,164.47 - 279.02
1765,HCA,Volume,"1,015,140"
1766,HCA,Avg. Volume,"1,806,962"
1767,PEAK,Previous Close,28.37
1768,PEAK,Open,28.42
1769,PEAK,Bid,28.28 x 900
1770,PEAK,Ask,28.29 x 900
1771,PEAK,Day's Range,28.15 - 28.43
1772,PEAK,52 Week Range,23.23 - 36.85
1773,PEAK,Volume,"677,792"
1774,PEAK,Avg. Volume,"4,517,900"
1775,HSIC,Previous Close,76.41
1776,HSIC,Open,75.85
1777,HSIC,Bid,75.52 x 1000
1778,HSIC,Ask,77.71 x 800
1779,HSIC,Day's Range,75.31 - 75.90
1780,HSIC,52 Week Range,70.25 - 92.68
1781,HSIC,Volume,"869,154"
1782,HSIC,Avg. Volume,"789,477"
1783,HSY,Previous Close,232.56
1784,HSY,Open,233.33
1785,HSY,Bid,0.00 x 900
1786,HSY,Ask,233.29 x 900
1787,HSY,Day's Range,232.33 - 234.56
1788,HSY,52 Week Range,167.80 - 234.56
1789,HSY,Volume,"609,986"
1790,HSY,Avg. Volume,"953,650"
1791,HES,Previous Close,120.14
1792,HES,Open,120.29
1793,HES,Bid,114.01 x 800
1794,HES,Ask,134.13 x 800
1795,HES,Day's Range,119.82 - 123.42
1796,HES,52 Week Range,66.20 - 131.44
1797,HES,Volume,"1,081,450"
1798,HES,Avg. Volume,"2,169,537"
1799,HPE,Previous Close,14.41
1800,HPE,Open,14.40
1801,HPE,Bid,14.29 x 3200
1802,HPE,Ask,14.61 x 27000
1803,HPE,Day's Range,14.24 - 14.48
1804,HPE,52 Week Range,12.40 - 17.76
1805,HPE,Volume,"12,702,592"
1806,HPE,Avg. Volume,"10,027,998"
1807,HLT,Previous Close,132.28
1808,HLT,Open,132.04
1809,HLT,Bid,0.00 x 900
1810,HLT,Ask,136.20 x 900
1811,HLT,Day's Range,132.04 - 134.30
1812,HLT,52 Week Range,108.41 - 167.99
1813,HLT,Volume,"1,005,958"
1814,HLT,Avg. Volume,"2,024,293"
1815,HOLX,Previous Close,71.46
1816,HOLX,Open,71.07
1817,HOLX,Bid,70.67 x 800
1818,HOLX,Ask,70.67 x 800
1819,HOLX,Day's Range,70.54 - 71.56
1820,HOLX,52 Week Range,66.58 - 81.04
1821,HOLX,Volume,"356,162"
1822,HOLX,Avg. Volume,"1,758,216"
1823,HD,Previous Close,306.90
1824,HD,Open,305.05
1825,HD,Bid,0.00 x 1100
1826,HD,Ask,0.00 x 800
1827,HD,Day's Range,303.55 - 309.98
1828,HD,52 Week Range,264.51 - 420.61
1829,HD,Volume,"2,296,880"
1830,HD,Avg. Volume,"3,610,725"
1831,HON,Previous Close,197.55
1832,HON,Open,196.74
1833,HON,Bid,0.00 x 1200
1834,HON,Ask,0.00 x 1100
1835,HON,Day's Range,196.32 - 198.49
1836,HON,52 Week Range,167.35 - 233.56
1837,HON,Volume,"1,351,784"
1838,HON,Avg. Volume,"2,532,750"
1839,HRL,Previous Close,51.27
1840,HRL,Open,51.39
1841,HRL,Bid,0.00 x 900
1842,HRL,Ask,0.00 x 800
1843,HRL,Day's Range,51.13 - 51.56
1844,HRL,52 Week Range,40.48 - 55.11
1845,HRL,Volume,"832,347"
1846,HRL,Avg. Volume,"1,529,000"
1847,HST,Previous Close,18.46
1848,HST,Open,18.55
1849,HST,Bid,0.00 x 4000
1850,HST,Ask,0.00 x 1000
1851,HST,Day's Range,18.43 - 18.73
1852,HST,52 Week Range,15.10 - 21.63
1853,HST,Volume,"3,241,525"
1854,HST,Avg. Volume,"8,295,483"
1855,HWM,Previous Close,36.68
1856,HWM,Open,36.77
1857,HWM,Bid,0.00 x 1000
1858,HWM,Ask,0.00 x 900
1859,HWM,Day's Range,36.70 - 37.21
1860,HWM,52 Week Range,27.41 - 38.99
1861,HWM,Volume,"1,518,924"
1862,HWM,Avg. Volume,"2,858,879"
1863,HPQ,Previous Close,33.40
1864,HPQ,Open,33.20
1865,HPQ,Bid,0.00 x 3100
1866,HPQ,Ask,33.53 x 2900
1867,HPQ,Day's Range,32.92 - 33.46
1868,HPQ,52 Week Range,26.11 - 41.47
1869,HPQ,Volume,"6,354,075"
1870,HPQ,Avg. Volume,"8,799,014"
1871,HUM,Previous Close,493.19
1872,HUM,Open,493.40
1873,HUM,Bid,0.00 x 800
1874,HUM,Ask,0.00 x 900
1875,HUM,Day's Range,493.29 - 498.58
1876,HUM,52 Week Range,351.20 - 504.99
1877,HUM,Volume,"401,077"
1878,HUM,Avg. Volume,"784,691"
1879,HBAN,Previous Close,13.72
1880,HBAN,Open,13.64
1881,HBAN,Bid,0.00 x 36200
1882,HBAN,Ask,14.85 x 21500
1883,HBAN,Day's Range,13.62 - 13.83
1884,HBAN,52 Week Range,11.67 - 17.79
1885,HBAN,Volume,"8,704,518"
1886,HBAN,Avg. Volume,"11,773,838"
1887,HII,Previous Close,236.14
1888,HII,Open,237.19
1889,HII,Bid,174.00 x 800
1890,HII,Ask,253.24 x 800
1891,HII,Day's Range,236.94 - 239.87
1892,HII,52 Week Range,175.50 - 239.87
1893,HII,Volume,"243,742"
1894,HII,Avg. Volume,"328,437"
1895,IBM,Previous Close,134.74
1896,IBM,Open,134.89
1897,IBM,Bid,0.00 x 800
1898,IBM,Ask,0.00 x 800
1899,IBM,Day's Range,133.11 - 135.11
1900,IBM,52 Week Range,114.56 - 144.73
1901,IBM,Volume,"2,671,046"
1902,IBM,Avg. Volume,"5,063,814"
1903,IEX,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
1904,IDXX,Previous Close,356.91
1905,IDXX,Open,358.16
1906,IDXX,Bid,305.77 x 1000
1907,IDXX,Ask,0.00 x 800
1908,IDXX,Day's Range,355.95 - 362.75
1909,IDXX,52 Week Range,318.50 - 695.18
1910,IDXX,Volume,"549,387"
1911,IDXX,Avg. Volume,"599,701"
1912,ITW,Previous Close,205.40
1913,ITW,Open,205.87
1914,ITW,Bid,204.12 x 900
1915,ITW,Ask,221.90 x 900
1916,ITW,Day's Range,204.57 - 206.06
1917,ITW,52 Week Range,173.52 - 249.81
1918,ITW,Volume,"638,265"
1919,ITW,Avg. Volume,"1,020,683"
1920,ILMN,Previous Close,194.84
1921,ILMN,Open,195.65
1922,ILMN,Bid,209.04 x 900
1923,ILMN,Ask,216.00 x 1000
1924,ILMN,Day's Range,195.38 - 211.96
1925,ILMN,52 Week Range,173.45 - 486.10
1926,ILMN,Volume,"2,220,156"
1927,ILMN,Avg. Volume,"1,548,911"
1928,INCY,Previous Close,72.99
1929,INCY,Open,73.11
1930,INCY,Bid,0.00 x 800
1931,INCY,Ask,0.00 x 800
1932,INCY,Day's Range,72.74 - 73.52
1933,INCY,52 Week Range,61.91 - 84.86
1934,INCY,Volume,"656,682"
1935,INCY,Avg. Volume,"1,440,508"
1936,IR,Previous Close,51.82
1937,IR,Open,50.81
1938,IR,Bid,49.41 x 900
1939,IR,Ask,49.41 x 900
1940,IR,Day's Range,49.37 - 50.97
1941,IR,52 Week Range,39.28 - 62.64
1942,IR,Volume,"4,056,363"
1943,IR,Avg. Volume,"2,991,543"
1944,INTC,Previous Close,33.95
1945,INTC,Open,33.97
1946,INTC,Bid,0.00 x 4000
1947,INTC,Ask,34.08 x 1200
1948,INTC,Day's Range,33.60 - 33.99
1949,INTC,52 Week Range,33.60 - 56.28
1950,INTC,Volume,"25,105,652"
1951,INTC,Avg. Volume,"38,457,446"
1952,ICE,Previous Close,106.45
1953,ICE,Open,106.39
1954,ICE,Bid,106.50 x 800
1955,ICE,Ask,0.00 x 800
1956,ICE,Day's Range,106.03 - 107.11
1957,ICE,52 Week Range,90.05 - 139.79
1958,ICE,Volume,"2,465,161"
1959,ICE,Avg. Volume,"2,760,577"
1960,IP,Previous Close,42.78
1961,IP,Open,42.61
1962,IP,Bid,42.59 x 900
1963,IP,Ask,0.00 x 800
1964,IP,Day's Range,42.36 - 42.87
1965,IP,52 Week Range,40.21 - 57.19
1966,IP,Volume,"1,770,693"
1967,IP,Avg. Volume,"2,908,441"
1968,IPG,Previous Close,30.17
1969,IPG,Open,29.62
1970,IPG,Bid,29.01 x 1100
1971,IPG,Ask,29.02 x 900
1972,IPG,Day's Range,28.91 - 29.62
1973,IPG,52 Week Range,26.36 - 39.98
1974,IPG,Volume,"863,963"
1975,IPG,Avg. Volume,"3,414,061"
1976,IFF,Previous Close,115.55
1977,IFF,Open,116.36
1978,IFF,Bid,0.00 x 800
1979,IFF,Ask,0.00 x 800
1980,IFF,Day's Range,115.65 - 118.38
1981,IFF,52 Week Range,105.38 - 155.00
1982,IFF,Volume,"914,620"
1983,IFF,Avg. Volume,"1,109,419"
1984,INTU,Previous Close,449.56
1985,INTU,Open,479.65
1986,INTU,Bid,436.71 x 800
1987,INTU,Ask,500.00 x 1300
1988,INTU,Day's Range,465.33 - 487.80
1989,INTU,52 Week Range,339.36 - 716.86
1990,INTU,Volume,"3,587,397"
1991,INTU,Avg. Volume,"1,662,588"
1992,ISRG,Previous Close,216.81
1993,ISRG,Open,218.19
1994,ISRG,Bid,0.00 x 800
1995,ISRG,Ask,0.00 x 800
1996,ISRG,Day's Range,217.94 - 222.60
1997,ISRG,52 Week Range,186.83 - 369.69
1998,ISRG,Volume,"1,798,934"
1999,ISRG,Avg. Volume,"2,020,924"
2000,IVZ,Previous Close,17.65
2001,IVZ,Open,17.60
2002,IVZ,Bid,0.00 x 1800
2003,IVZ,Ask,0.00 x 3100
2004,IVZ,Day's Range,17.52 - 17.83
2005,IVZ,52 Week Range,15.20 - 27.03
2006,IVZ,Volume,"2,033,470"
2007,IVZ,Avg. Volume,"3,874,787"
2008,IQV,Previous Close,239.02
2009,IQV,Open,234.92
2010,IQV,Bid,231.67 x 800
2011,IQV,Ask,231.76 x 1000
2012,IQV,Day's Range,231.16 - 236.86
2013,IQV,52 Week Range,194.67 - 285.61
2014,IQV,Volume,"689,909"
2015,IQV,Avg. Volume,"1,018,833"
2016,IRM,Previous Close,53.23
2017,IRM,Open,53.57
2018,IRM,Bid,0.00 x 800
2019,IRM,Ask,0.00 x 800
2020,IRM,Day's Range,53.57 - 54.78
2021,IRM,52 Week Range,41.67 - 58.61
2022,IRM,Volume,"1,210,458"
2023,IRM,Avg. Volume,"1,630,643"
2024,JBHT,Previous Close,187.61
2025,JBHT,Open,186.74
2026,JBHT,Bid,188.06 x 800
2027,JBHT,Ask,188.31 x 800
2028,JBHT,Day's Range,186.74 - 190.04
2029,JBHT,52 Week Range,153.92 - 218.18
2030,JBHT,Volume,"147,910"
2031,JBHT,Avg. Volume,"688,474"
2032,JKHY,Previous Close,204.27
2033,JKHY,Open,203.22
2034,JKHY,Bid,202.92 x 900
2035,JKHY,Ask,203.00 x 800
2036,JKHY,Day's Range,202.05 - 204.13
2037,JKHY,52 Week Range,147.50 - 212.62
2038,JKHY,Volume,"380,480"
2039,JKHY,Avg. Volume,"477,254"
2040,J,Previous Close,127.50
2041,J,Open,128.44
2042,J,Bid,125.74 x 1000
2043,J,Ask,125.83 x 800
2044,J,Day's Range,125.20 - 129.19
2045,J,52 Week Range,114.11 - 150.32
2046,J,Volume,"532,115"
2047,J,Avg. Volume,"551,993"
2048,JNJ,Previous Close,166.13
2049,JNJ,Open,166.56
2050,JNJ,Bid,0.00 x 1100
2051,JNJ,Ask,166.80 x 800
2052,JNJ,Day's Range,165.07 - 166.59
2053,JNJ,52 Week Range,155.72 - 186.69
2054,JNJ,Volume,"5,325,837"
2055,JNJ,Avg. Volume,"6,903,311"
2056,JCI,Previous Close,55.22
2057,JCI,Open,55.13
2058,JCI,Bid,55.64 x 900
2059,JCI,Ask,56.70 x 1400
2060,JCI,Day's Range,54.91 - 55.68
2061,JCI,52 Week Range,45.52 - 81.77
2062,JCI,Volume,"2,062,037"
2063,JCI,Avg. Volume,"4,121,217"
2064,JPM,Previous Close,115.52
2065,JPM,Open,115.29
2066,JPM,Bid,116.36 x 800
2067,JPM,Ask,0.00 x 800
2068,JPM,Day's Range,114.45 - 116.41
2069,JPM,52 Week Range,106.06 - 172.96
2070,JPM,Volume,"8,336,870"
2071,JPM,Avg. Volume,"12,238,591"
2072,JNPR,Previous Close,29.02
2073,JNPR,Open,28.99
2074,JNPR,Bid,0.00 x 1000
2075,JNPR,Ask,33.00 x 900
2076,JNPR,Day's Range,28.79 - 29.22
2077,JNPR,52 Week Range,26.20 - 38.14
2078,JNPR,Volume,"1,505,788"
2079,JNPR,Avg. Volume,"3,368,032"
2080,K,Previous Close,76.19
2081,K,Open,76.30
2082,K,Bid,75.32 x 800
2083,K,Ask,76.92 x 800
2084,K,Day's Range,75.88 - 76.47
2085,K,52 Week Range,59.54 - 76.99
2086,K,Volume,"1,570,579"
2087,K,Avg. Volume,"2,618,693"
2088,KDP,Previous Close,39.49
2089,KDP,Open,39.57
2090,KDP,Bid,36.75 x 1800
2091,KDP,Ask,40.23 x 3200
2092,KDP,Day's Range,39.33 - 39.79
2093,KDP,52 Week Range,32.44 - 41.31
2094,KDP,Volume,"4,097,768"
2095,KDP,Avg. Volume,"10,908,977"
2096,KEY,Previous Close,18.77
2097,KEY,Open,18.78
2098,KEY,Bid,18.10 x 900
2099,KEY,Ask,0.00 x 3200
2100,KEY,Day's Range,18.56 - 18.81
2101,KEY,52 Week Range,16.41 - 27.17
2102,KEY,Volume,"5,905,813"
2103,KEY,Avg. Volume,"9,749,856"
2104,KEYS,Previous Close,170.23
2105,KEYS,Open,170.51
2106,KEYS,Bid,165.01 x 1000
2107,KEYS,Ask,180.00 x 900
2108,KEYS,Day's Range,170.04 - 172.20
2109,KEYS,52 Week Range,127.93 - 209.08
2110,KEYS,Volume,"553,260"
2111,KEYS,Avg. Volume,"847,829"
2112,KMB,Previous Close,134.24
2113,KMB,Open,134.15
2114,KMB,Bid,0.00 x 1000
2115,KMB,Ask,135.66 x 1100
2116,KMB,Day's Range,133.36 - 134.49
2117,KMB,52 Week Range,117.32 - 145.79
2118,KMB,Volume,"928,150"
2119,KMB,Avg. Volume,"1,438,714"
2120,KIM,Previous Close,22.00
2121,KIM,Open,22.13
2122,KIM,Bid,22.04 x 3000
2123,KIM,Ask,22.05 x 900
2124,KIM,Day's Range,21.87 - 22.16
2125,KIM,52 Week Range,18.52 - 26.57
2126,KIM,Volume,"1,888,981"
2127,KIM,Avg. Volume,"4,155,054"
2128,KMI,Previous Close,18.89
2129,KMI,Open,18.90
2130,KMI,Bid,18.95 x 21500
2131,KMI,Ask,19.58 x 2200
2132,KMI,Day's Range,18.84 - 19.23
2133,KMI,52 Week Range,15.01 - 20.20
2134,KMI,Volume,"13,682,189"
2135,KMI,Avg. Volume,"15,400,695"
2136,KLAC,Previous Close,362.45
2137,KLAC,Open,360.26
2138,KLAC,Bid,362.40 x 800
2139,KLAC,Ask,0.00 x 1100
2140,KLAC,Day's Range,357.68 - 365.45
2141,KLAC,52 Week Range,282.83 - 457.12
2142,KLAC,Volume,"938,639"
2143,KLAC,Avg. Volume,"1,396,674"
2144,KHC,Previous Close,38.72
2145,KHC,Open,38.67
2146,KHC,Bid,0.00 x 3200
2147,KHC,Ask,0.00 x 900
2148,KHC,Day's Range,38.54 - 38.96
2149,KHC,52 Week Range,32.78 - 44.87
2150,KHC,Volume,"5,601,765"
2151,KHC,Avg. Volume,"8,486,280"
2152,KR,Previous Close,49.60
2153,KR,Open,49.61
2154,KR,Bid,0.00 x 900
2155,KR,Ask,50.47 x 1400
2156,KR,Day's Range,49.24 - 49.78
2157,KR,52 Week Range,38.22 - 62.78
2158,KR,Volume,"4,201,867"
2159,KR,Avg. Volume,"5,606,456"
2160,LHX,Previous Close,232.14
2161,LHX,Open,232.75
2162,LHX,Bid,0.00 x 1000
2163,LHX,Ask,0.00 x 1000
2164,LHX,Day's Range,232.01 - 234.68
2165,LHX,52 Week Range,200.71 - 279.71
2166,LHX,Volume,"810,996"
2167,LHX,Avg. Volume,"926,062"
2168,LH,Previous Close,238.85
2169,LH,Open,239.09
2170,LH,Bid,0.00 x 800
2171,LH,Ask,0.00 x 800
2172,LH,Day's Range,231.38 - 239.09
2173,LH,52 Week Range,212.40 - 317.17
2174,LH,Volume,"978,062"
2175,LH,Avg. Volume,"720,340"
2176,LRCX,Previous Close,463.97
2177,LRCX,Open,463.92
2178,LRCX,Bid,423.07 x 800
2179,LRCX,Ask,0.00 x 1100
2180,LRCX,Day's Range,457.04 - 465.11
2181,LRCX,52 Week Range,375.87 - 731.85
2182,LRCX,Volume,"685,076"
2183,LRCX,Avg. Volume,"1,399,816"
2184,LW,Previous Close,81.26
2185,LW,Open,81.25
2186,LW,Bid,74.55 x 1100
2187,LW,Ask,83.03 x 900
2188,LW,Day's Range,81.13 - 82.00
2189,LW,52 Week Range,49.71 - 83.29
2190,LW,Volume,"631,645"
2191,LW,Avg. Volume,"1,286,959"
2192,LVS,Previous Close,36.88
2193,LVS,Open,36.87
2194,LVS,Bid,37.90 x 1000
2195,LVS,Ask,0.00 x 800
2196,LVS,Day's Range,36.43 - 38.31
2197,LVS,52 Week Range,28.88 - 48.27
2198,LVS,Volume,"3,761,265"
2199,LVS,Avg. Volume,"6,366,914"
2200,LDOS,Previous Close,100.25
2201,LDOS,Open,100.48
2202,LDOS,Bid,0.00 x 900
2203,LDOS,Ask,0.00 x 800
2204,LDOS,Day's Range,99.36 - 100.60
2205,LDOS,52 Week Range,81.07 - 111.12
2206,LDOS,Volume,"452,059"
2207,LDOS,Avg. Volume,"701,141"
2208,LEN,Previous Close,82.11
2209,LEN,Open,81.51
2210,LEN,Bid,0.00 x 1000
2211,LEN,Ask,0.00 x 1000
2212,LEN,Day's Range,81.32 - 84.99
2213,LEN,52 Week Range,62.54 - 117.54
2214,LEN,Volume,"1,998,202"
2215,LEN,Avg. Volume,"2,761,764"
2216,LNC,Previous Close,48.16
2217,LNC,Open,48.00
2218,LNC,Bid,0.00 x 800
2219,LNC,Ask,49.00 x 800
2220,LNC,Day's Range,47.78 - 48.55
2221,LNC,52 Week Range,44.89 - 77.57
2222,LNC,Volume,"1,043,507"
2223,LNC,Avg. Volume,"1,642,403"
2224,LIN,Previous Close,294.18
2225,LIN,Open,294.21
2226,LIN,Bid,0.00 x 1100
2227,LIN,Ask,0.00 x 800
2228,LIN,Day's Range,292.00 - 294.97
2229,LIN,52 Week Range,265.12 - 352.18
2230,LIN,Volume,"1,268,705"
2231,LIN,Avg. Volume,"2,386,709"
2232,LYV,Previous Close,91.38
2233,LYV,Open,91.57
2234,LYV,Bid,92.39 x 800
2235,LYV,Ask,92.45 x 900
2236,LYV,Day's Range,91.86 - 93.00
2237,LYV,52 Week Range,79.50 - 127.75
2238,LYV,Volume,"282,328"
2239,LYV,Avg. Volume,"1,543,509"
2240,LKQ,Previous Close,54.41
2241,LKQ,Open,54.45
2242,LKQ,Bid,54.76 x 800
2243,LKQ,Ask,54.81 x 800
2244,LKQ,Day's Range,54.44 - 55.04
2245,LKQ,52 Week Range,42.36 - 60.43
2246,LKQ,Volume,"203,422"
2247,LKQ,Avg. Volume,"1,531,667"
2248,LMT,Previous Close,433.12
2249,LMT,Open,433.99
2250,LMT,Bid,0.00 x 900
2251,LMT,Ask,0.00 x 1300
2252,LMT,Day's Range,430.94 - 435.45
2253,LMT,52 Week Range,324.23 - 479.99
2254,LMT,Volume,"661,997"
2255,LMT,Avg. Volume,"1,241,903"
2256,L,Previous Close,55.12
2257,L,Open,55.47
2258,L,Bid,55.39 x 2200
2259,L,Ask,55.41 x 800
2260,L,Day's Range,55.36 - 56.13
2261,L,52 Week Range,51.35 - 68.20
2262,L,Volume,"735,622"
2263,L,Avg. Volume,"979,724"
2264,LOW,Previous Close,207.47
2265,LOW,Open,206.81
2266,LOW,Bid,0.00 x 800
2267,LOW,Ask,0.00 x 1100
2268,LOW,Day's Range,205.78 - 210.54
2269,LOW,52 Week Range,170.12 - 263.31
2270,LOW,Volume,"2,562,475"
2271,LOW,Avg. Volume,"3,622,083"
2272,LUMN,Previous Close,10.88
2273,LUMN,Open,10.91
2274,LUMN,Bid,0.00 x 4000
2275,LUMN,Ask,0.00 x 4000
2276,LUMN,Day's Range,10.77 - 10.97
2277,LUMN,52 Week Range,9.31 - 14.50
2278,LUMN,Volume,"9,968,453"
2279,LUMN,Avg. Volume,"10,124,372"
2280,LYB,Previous Close,90.21
2281,LYB,Open,89.70
2282,LYB,Bid,0.00 x 800
2283,LYB,Ask,0.00 x 800
2284,LYB,Day's Range,88.01 - 89.94
2285,LYB,52 Week Range,82.14 - 117.22
2286,LYB,Volume,"1,656,304"
2287,LYB,Avg. Volume,"2,351,167"
2288,MTB,Previous Close,184.30
2289,MTB,Open,183.78
2290,MTB,Bid,0.00 x 1100
2291,MTB,Ask,0.00 x 1300
2292,MTB,Day's Range,183.07 - 185.26
2293,MTB,52 Week Range,131.42 - 193.42
2294,MTB,Volume,"512,211"
2295,MTB,Avg. Volume,"1,029,935"
2296,MRO,Previous Close,25.71
2297,MRO,Open,25.83
2298,MRO,Bid,25.41 x 3100
2299,MRO,Ask,26.51 x 1000
2300,MRO,Day's Range,25.67 - 26.37
2301,MRO,52 Week Range,11.02 - 33.24
2302,MRO,Volume,"13,911,138"
2303,MRO,Avg. Volume,"18,782,432"
2304,MPC,Previous Close,103.49
2305,MPC,Open,103.88
2306,MPC,Bid,93.57 x 1100
2307,MPC,Ask,0.00 x 800
2308,MPC,Day's Range,103.36 - 104.94
2309,MPC,52 Week Range,56.08 - 114.35
2310,MPC,Volume,"3,451,782"
2311,MPC,Avg. Volume,"6,289,201"
2312,MKTX,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
2313,MAR,Previous Close,158.64
2314,MAR,Open,157.80
2315,MAR,Bid,0.00 x 900
2316,MAR,Ask,163.66 x 800
2317,MAR,Day's Range,157.80 - 160.52
2318,MAR,52 Week Range,131.01 - 195.90
2319,MAR,Volume,"1,892,354"
2320,MAR,Avg. Volume,"2,116,012"
2321,MMC,Previous Close,166.89
2322,MMC,Open,167.04
2323,MMC,Bid,0.00 x 800
2324,MMC,Ask,0.00 x 800
2325,MMC,Day's Range,166.59 - 168.49
2326,MMC,52 Week Range,142.80 - 183.14
2327,MMC,Volume,"1,003,121"
2328,MMC,Avg. Volume,"1,840,595"
2329,MLM,Previous Close,365.15
2330,MLM,Open,359.24
2331,MLM,Bid,356.14 x 900
2332,MLM,Ask,368.02 x 900
2333,MLM,Day's Range,356.01 - 363.23
2334,MLM,52 Week Range,284.99 - 446.46
2335,MLM,Volume,"330,790"
2336,MLM,Avg. Volume,"442,222"
2337,MAS,Previous Close,55.38
2338,MAS,Open,54.54
2339,MAS,Bid,53.01 x 800
2340,MAS,Ask,53.03 x 900
2341,MAS,Day's Range,52.94 - 54.58
2342,MAS,52 Week Range,46.27 - 71.06
2343,MAS,Volume,"844,450"
2344,MAS,Avg. Volume,"2,031,469"
2345,MA,Previous Close,340.89
2346,MA,Open,340.18
2347,MA,Bid,338.00 x 1800
2348,MA,Ask,349.00 x 1800
2349,MA,Day's Range,338.35 - 342.29
